"text","likes","comments","shares"
"Measles cases are increasing in the United States, with 45 infections reported in 17 states as of March 7, according to the US Centers for Disease Control and Prevention. That’s close to the total of 58 cases documented in the United States in all of 2023.","17","34","1"
"At the turn of the millennium, web-based technology was in a state of chrysalis. Google was just one of several mainstream search engines and dial-up internet (and its iconic dial tone) was still a thing in many American homes.","192","81","28"
"SpaceX launched the world's most powerful rocket, Starship, for the third time on Thursday morning. The spacecraft made it further into the test flight than ever, marking a major win for the company, before it was lost.

After reentry the team lost two key pieces of communication at the same time: Contact with Starlink, SpaceX's internet service, and with TDRSS — or Tracking and Data Relay Satellite System.

Last April, Starship's first attempt launched but exploded in midair. The second attempt in November saw Starship make it further into flight, but ultimately end with a loss of signal and explosion.","233","122","68"
"Italy’s competition authority has fined TikTok $11 million for failing to control the spread of content that it said threatened the safety of minors and other vulnerable people.","131","144","17"
"SpaceX's Starship, the most powerful rocket ever launched, reaches new heights in monumental test flight before likely breaking apart, officials say","390","237","37"
"Shell weakened its 2030 carbon reduction target and scrapped a 2035 objective, citing expectations for lower power sales and strong demand for gas in the energy transition, even as it affirmed a plan to cut emissions to net zero by 2050.","67","45","6"
"Paris Mayor Anne Hidalgo said that she is against Russian athletes participating in the Paris 2024 Olympic Games and attending the Opening Ceremony scheduled for July 26.","162","100","17"
"""Hardly a day has gone by in 2024 without a bad headline for Boeing, from life-threatening mid-flight crises up above to entrenched business debacles happening on the ground,"" writes Allison Morrow | Analysis","83","115","17"
"""The United States is now one step closer to banning TikTok or forcing a sale. There’s just one pesky little $100 billion problem: Who’s gonna buy this thing?"" Writes Allison Morrow | Analysis","98","140","19"
"The federal judge presiding over the classified documents case against Donald Trump will hear arguments on motions focused on dismissing the charges brought by special counsel Jack Smith.

Follow live updates.","164","443","32"
"After spending nearly a decade covering Hillary Clinton, including both of her presidential campaigns, former New York Times White House correspondent Amy Chozick felt she had another story to tell.","88","56","21"
"Dua Lipa, Coldplay and SZA will headline this year’s Glastonbury Festival in June, organizers announced.","143","60","15"
"SpaceX's Starship, the world's most powerful rocket, makes it further into test flight than ever, marking a major win for the company","253","137","60"
"After two nail-biting and explosive test flights in 2023, a SpaceX Starship rocket is back on the launchpad at the Starbase facility in Boca Chica, Texas.","221","179","34"
"Pi Day isn’t just about showing off how many numbers you have memorized – restaurants from Burger King to California Pizza Kitchen are offering deals and discounts on Thursday, March 14th.","225","96","57"
"Inside the world of Wordle at the New York Times https://cnn.it/3x11FOU","112","81","35"
"A much-awaited treatment for postpartum depression, zuranolone, hit the market in December, promising an accessible and fast-acting medication for a debilitating illness. 

But most private health insurers have yet to publish criteria for when they will cover it, according to a new analysis of insurance policies.","106","115","27"
"Former Treasury Secretary Steven Mnuchin says he's assembling a team of investors to make a bid to buy TikTok, noting, ""it's worth a lot of money""","149","154","40"
"Josh Cavallo, the first top-flight male professional soccer star to come out as gay, has blazed a new trail by proposing to his partner on the pitch of his club.","2476","1289","57"
"""TikTok is now facing a ban in the United States, a fate that has already befallen a string of American social media giants that tried to make it in China,"" writes Laura He","254","278","46"
"California sheriff’s deputies fatally shot a teenager with autism who was holding a gardening tool over the weekend, the San Bernardino County Sheriff’s Department and a family attorney said.","226","334","18"
"The passenger, Nathan Jones, has been charged with interfering with a flight crew during the March 3 flight from San Diego to Dulles International Airport in Virginia, according to a criminal complaint filed last week in US district court in Virginia.","113","48","23"
"Here are 5️⃣ things you need to know today:

1️⃣ US officials to meet with Arab and Muslim leaders

2️⃣ TikTok ban bill heads to Senate

3️⃣ Alabama cyberattack

4️⃣ Georgia judge dismisses some Trump charges

5️⃣ SpaceX Starship rocket","108","292","50"
"Trump and special counsel Jack Smith will have the chance to debate in court Trump’s most-cited legal argument in the classified documents case against him: whether as president, he was allowed to keep any documents he wanted.","291","848","16"
"Vice President Kamala Harris will visit a Planned Parenthood clinic in Minnesota, a White House official tells CNN, marking a significant and high-level visit to an abortion provider.","497","404","32"
"A cyberattack caused intermittent “disruptions” for websites of multiple Alabama government agencies, in an incident that had state officials working throughout the day to defend their networks from hackers, a spokesperson for Alabama’s Office of Information Technology told CNN.","76","73","12"
"""Donald Trump looks like he’s succeeding in running out the clock,"" writes Stephen Collinson | Analysis","414","618","27"
"Devastation in Gaza as Israel wages war on Hamas | Follow live updates","128","393","18"
"While there was an abundance of daring looks at the Oscars red carpet this year, one of the evening’s most memorable outfits came from Hollywood newcomer Sandra Hüller.","187","61","27"
"Three Rapid Vienna soccer players were not selected for national team duty after video emerged of them taking part in post-match celebrations shouting homophobic chants with a selection of the crowd.","114","67","9"
